DATA,HORÁRIO,CATEGORIA,PRESENÇA
2023-06-01,19:50 à 20:40,A,SIM
2023-06-01,20:45 à 21:35,A,SIM
2023-06-02,18:00 à 18:50,A,SIM
2023-06-02,18:55 à 19:45,A,SIM
2023-06-06,19:50 à 20:40,A,SIM
2023-06-06,20:45 à 21:35,A,SIM
2023-07-06,19:50 à 20:40,A,SIM
2023-07-06,20:45 à 21:35,A,SIM
2023-06-09,18:00 à 18:50,A,SIM
2023-06-09,18:55 à 19:45,A,SIM
2023-06-12,16:10 à 17:00,A,SIM
2023-06-12,17:05 à 17:55,A,CONSTA QUE NÃO
2023-06-13,19:45 à 20:35,A,SIM
2023-06-13,20:40 à 21:30,A,SIM
2023-06-15,18:00 à 18:50,A,NÃO
2023-06-15,18:55 à 19:45,A,NÃO
2023-06-20,18:00 à 18:50,A,SIM
2023-06-20,18:55 à 19:45,A,SIM
2023-06-21,19:50 à 20:40,A,NÃO
2023-06-21,20:45 à 21:35,A,NÃO
2023-08-16,19:45 à 20:35,A,SIM
2023-08-16,20:40 à 21:30,A,SIM
2023-08-25,19:50 à 20:40,A,#
2023-08-25,20:45 à 21:35,A,#
2023-08-29,19:50 à 20:40,A,#
2023-08-29,20:45 à 21:35,A,#
2023-06-22,19:45 à 20:35,B,SIM
2023-06-22,20:35 à 21:25,B,SIM
2023-06-23,18:00 à 18:50,B,NÃO
2023-06-23,18:50 à 19:40,B,NÃO
2023-06-24,09:55 à 10:45,B,NÃO
2023-06-24,10:45 à 11:35,B,SIM
2023-06-26,19:45 à 20:35,B,SIM
2023-06-26,20:35 à 21:25,B,SIM
2023-06-27,19:45 à 20:35,B,SIM
2023-06-27,20:35 à 21:25,B,SIM
2023-06-29,18:00 à 18:50,B,SIM
2023-06-29,18:50 à 19:40,B,SIM
2023-07-03,18:00 à 18:50,B,SIM
2023-07-03,18:50 à 19:40,B,SIM
2023-07-04,18:00 à 18:50,B,SIM
2023-07-04,18:50 à 19:40,B,SIM
2023-07-07,18:00 à 18:50,B,SIM
2023-07-07,18:50 à 19:40,B,SIM
2023-08-21,19:45 à 20:35,B,NÃO
2023-08-21,20:35 à 21:25,B,SIM
2023-08-22,19:45 à 20:35,B,SIM
2023-08-22,20:35 à 21:25,B,SIM
2023-08-28,19:45 à 20:35,B,#
